title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Perfume: The Story of a Murderer",movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,272902,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173587,
"The Contract",movie,"Action, Crime, Drama",2006,tt0445946,5.6,26689,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,178874,
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",movie,"Action, Adventure, Comedy",1991,tt0103060,6,62650,
"Teenage Mutant Ninja Turtles",movie,"Action, Adventure, Comedy",1990,tt0100758,6.8,108553,
"Teenage Mutant Ninja Turtles III",movie,"Action, Adventure, Comedy",1993,tt0108308,4.8,37522,
"Changing Lanes",movie,"Drama, Thriller",2002,tt0264472,6.5,76465,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,448516,
"Ghost World",movie,"Comedy, Drama",2001,tt0162346,7.3,129738,
Flatliners,movie,"Drama, Horror, Sci-Fi",1990,tt0099582,6.6,96208,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57093,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,250172,
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,299286,
"Raging Bull",movie,"Biography, Drama, Sport",1980,tt0081398,8.1,395513,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,348406,
Lammbock,movie,"Comedy, Crime",2001,tt0258760,7.2,12150,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,345112,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,261876,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,110051,
"Primal Fear",movie,"Crime, Drama, Mystery",1996,tt0117381,7.7,260280,
"A Shot in the Dark",movie,"Comedy, Crime, Mystery",1964,tt0058586,7.3,32441,
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,367978,
"Cape Fear",movie,"Crime, Thriller",1991,tt0101540,7.3,226681,
"The Double Life of Véronique",movie,"Drama, Fantasy, Music",1991,tt0101765,7.6,55178,
