title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,132003,
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,402899,
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6678,
Blow,movie,"Biography, Crime, Drama",2001,tt0221027,7.5,281780,
"Shoot 'Em Up",movie,"Action, Comedy, Thriller",2007,tt0465602,6.6,157251,
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,48750,
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,417214,
"Scream 2",movie,"Horror, Mystery",1997,tt0120082,6.3,222574,
"Scream 3",movie,"Horror, Mystery",2000,tt0134084,5.7,173743,
"Eat the Rich",movie,"Action, Comedy, Crime",1987,tt0092944,5.8,1662,
"Charlie's Angels",movie,"Action, Adventure, Comedy",2000,tt0160127,5.6,202090,
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,135001,
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11698,
"The Devil's Own",movie,"Action, Crime, Drama",1997,tt0118972,6.2,74575,
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15836,
"The Assassination of Jesse James by the Coward Robert Ford",movie,"Biography, Crime, Drama",2007,tt0443680,7.5,198066,
"The Darjeeling Limited",movie,"Adventure, Comedy, Drama",2007,tt0838221,7.2,223774,
"Panic Room",movie,"Crime, Drama, Thriller",2002,tt0258000,6.8,306912,
"Lady Vengeance",movie,"Crime, Drama, Thriller",2005,tt0451094,7.5,89235,
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,429195,
"The Story of O",movie,Drama,1975,tt0073115,5.3,7263,
"Sense and Sensibility",movie,"Drama, Romance",1995,tt0114388,7.7,131489,
"The Guardian",movie,"Adventure, Drama",2006,tt0406816,6.9,100945,
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,904,
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,301945,
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12695,
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,128889,
"The Invasion",movie,"Sci-Fi, Thriller",2007,tt0427392,5.9,85656,
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,20145,
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,721264,
"Boogie Nights",movie,Drama,1997,tt0118749,7.9,291125,
"3:10 to Yuma",movie,"Action, Crime, Drama",2007,tt0381849,7.6,342800,
"The Polar Express",movie,"Adventure, Animation, Family",2004,tt0338348,6.6,257338,
Chaos,movie,"Action, Crime, Drama",2005,tt0402910,6.4,59400,
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,16055,
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5709,
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4513,
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13686,
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,62397,
Once,movie,"Drama, Music, Musical",2006,tt0907657,7.8,123265,
