title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,29034,
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,51564,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,593141,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,131289,
"The Tin Drum",movie,"Drama, War",1979,tt0078875,7.4,26925,
"The Marriage of Maria Braun",movie,"Drama, Romance",1979,tt0079095,7.7,15568,
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.6,244088,
Ben-Hur,movie,"Adventure, Drama",1959,tt0052618,8.1,263327,
"Nanook of the North",movie,Documentary,1922,tt0013427,7.6,13954,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,678455,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,903533,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,728883,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,728837,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,717046,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,666014,
Aliens,movie,"Action, Adventure, Horror",1986,tt0090605,8.4,808338,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2332985,
Contact,movie,"Drama, Mystery, Sci-Fi",1997,tt0118884,7.5,303310,
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,92985,
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,295354,
"The Shining",movie,"Drama, Horror",1980,tt0081505,8.4,1165797,
"A Hard Day's Night",movie,"Comedy, Musical",1964,tt0058182,7.5,49678,
"Top Gun",movie,"Action, Drama",1986,tt0092099,7,527760,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,115836,
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,618785,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1214520,
Faces,movie,Drama,1968,tt0062952,7.4,12327,
